Fellow	Year	Citation
David Abramson	2016	For contributions to software tools for high performance, parallel, and distributed computing 
Patrice Abry	2012	For contributions to the theory and applications of fractal and multifractal analysis in signal and image processing 
Pamela Ann Abshire	2018	For contributions to CMOS biosensors 
Haithem Abu-Rub	2018	For contributions to power electronic converters for renewable energy applications 
Ali Abur	2003	For contributions to the methods for state estimation of power systems. 
Maurice Aburdene	1996	For significant and sustained contributions to the development of undergraduate electrical engineering laboratories and undergraduate education. 
Alejandro Acero	2004	For contributions to noise robust speech recognition and speech technology education. 
Enrique Acha	2021	For contributions to power electronics modelling and applications in electrical power systems 
Ramachandra Achar	2013	For contributions to interconnect and signal integrity analysis in high-speed designs 
Raj Acharya	2010	For contributions to biomedical imaging and bioinformatics 
Tinku Acharya	2010	For contributions to very large scale integration algorithms and architectures for electronic image processing 
Brice Achkir	2014	For contributions to diagnostics of physical layer design in gigabit digital transmission systems 
Behcet Acikmese	2022	For contributions to optimization-based nonlinear control and to planetary landing systems 
Edward Ackerman	2007	For contributions to the optimization of analog optical links 
Bryan Ackland	1992	For contributions to the design of custom integrated circuits for signal processing systems. 
Scott Acton	2013	For contributions to biomedical image analysis 
Fumiyuki Adachi	2002	For contributions and leadership in digital cellular communication technologies. 
Tulay Adali	2009	For contributions to nonlinear and complex-valued statistical signal processing 
John Adam	1991	For contributions to the development of microwave device applications of ferrite thin films. 
Kazimierz Adamiak	2009	For contributions to the numerical analysis of applied electrostatic and electrohydrodynamic processes 
Mark Adamiak	2005	For contributions to power system protection, communications protocols and standards for power system substations. 
Alfred Adams	2001	For contributions to the advancement of semiconductor quantum-well lasers by the incorporation of strain. 
Robert Adams	2012	For contributions to analog and digital signal processing 
Rambabu Adapa	2012	For leadership in DC and flexible AC transmission systems 
Edward Adelson	2019	For contributions to image representation and analysis in computer vision 
Ilesanmi Adesida	1999	For contributions to compound semiconductor devices and circuits. 
Michael Adler	1985	For contributions to CAD modeling of power semiconductor devices. 
Amr Adly	2011	For contributions to multi-component magnetic hysteresis models 
Claudio Adragna	2024	For contributions to industrial usage of resonant converters in offline power supplies 
Raviraj Adve	2017	For development of signal processing techniques for airborne radar 
Sarita Adve	2012	For contributions to shared memory semantics and parallel computing 
Anant Agarwal	2012	For contributions to silicon carbide power device technology 
G Agarwal	1986	For contributions to understanding and modeling of human motor system. 
Vivek Agarwal	2015	For contributions to topologies and control schemes for solar photovoltaic energy conversion and power quality enhancement 
Ramesh Agarwal	2003	For contributions to robust control of uncertain systems with applications to flight and flow control. 
Ramesh Agarwal	1987	For contributions to number-theoretic transforms and fast convolution algorithms in digital signal processing. 
Forrest Agee	2000	For leadership in and contributions to the engineering and physics of high power microwave, pulsed power, and ionizing radiation devices. 
Vassilios Agelidis	2016	For contributions to power electronics, renewable energy conversion and integration with electricity grid 
Tilak Agerwala	1986	For leadership in the development of very high performance computers. 
J Aggarwal	1976	For contributions to time delay systems and digital filters. 
Charu Aggarwal	2010	For contributions to knowledge discovery and data mining techniques 
Gul Agha	2002	For contributions to the theory and practice of concurrent programming. 
Amir Aghdam	2023	For research leadership in distributed control of large-scale interconnected systems 
Abdol-Hamid Aghvami	2005	For contribution to the advancement of multiple access protocols for mobile communications. 
Vishwani Agrawal	1986	For contributions to probabilistic testing techniques for large integrated circuits. 
Rakesh Agrawal	1999	For contributions to the theory and practice of database management. 
Govind Agrawal	1996	For contributions to the development and understanding of semiconductor lasers and fiber-optic communications systems. 
Bajarang Agrawal	1994	For contributions to the identification measurement, and control of subsynchronous resonance in power systems. 
Prathima Agrawal	1989	For contributions to computer-aided design and testing of integrated circuits. 
Dakshi Agrawal	2012	For contributions to theory, analysis, and design of efficient, secure, and privacy-preserving communication systems 
Ashok Agrawala	1991	For contributions to distributed algorithms and policies for computer systems 
Erik Agrell	2018	For contributions to coding and modulation in optical communications 
Syed Ahamed	1992	For contributions to the study and design of digital subscriber lines. 
M.Omair Ahmad	2001	For contributions to the design and implementation of digital signal processing algorithms. 
Ishfaq Ahmad	2008	For contributions to scheduling techniques in parallel and distributed computing systems 
Hamid Ahmadi	1996	For contributions to high speed ATM networking technology and to wireless networking. 
M Ahmadi	2002	For contributions to the design of digital filters, and to pattern recognition and image restoration. 
Nasir Ahmed	1985	For contributions to engineering education and to digital signal processing. 
Doyeol (David) Ahn	2005	For contributions to the theory of semiconductor quantum-well lasers and the development of quantum information communications research. 
Gail-Joon Ahn	2023	For development of applications of information and systems security 
Alfred Aho	1988	For contributions to programming language translation, to data structures and algorithms, and to data systems. 
Richard Ahrenkiel	2001	For contributions to measurement of minority carrier lifetimes in semiconductor materials 
Narendra Ahuja	1992	For contributions to three-dimensional computer vision. 
Bhupendra Ahuja	2006	For contributions to design of mixed signal complementary metal oxide semiconductor (CMOS) integrated circuits for telecommunications and computer communications systems. 
Bo Ai	2022	For contributions to channel modeling and wireless communications in high-speed railways 
Kenichi Aihara	1999	For contributions and leadership in multimedia networking technologies and their applications. 
Thomas Ainsworth	2014	For contributions to the interpretation and analysis of polarimetric SAR imagery 
Sonia Aissa	2019	For contributions to design and performance analysis of cognitive radio and cooperative communication systems 
Colin Aitchison	1994	For contributions to the design of microwave active circuits. 
JStewart Aitchison	2019	For contributions to nonlinear optical devices and point-of-care testing systems 
Robert Aitken	2013	For contributions to testing and diagnosis of integrated circuits 
Kiyoharu Aizawa	2016	For contributions to model-based coding and multimedia lifelogging 
Venkataramana Ajjarapu	2008	For contributions to power system voltage stability assessment and control methods 
Marco Ajmone Marsan	1999	For the development of generalized stochastic petri net theory and its applications. 
Hirofumi Akagi	1996	For contributions to the theory of instantaneous reactive power in three-phase circuits, and to the development of active power filters for harmonic compensation in power systems. 
Yoshihiko Akaiwa	2001	For contributions to digital modulation techniques and distributed dynamic channel assignment for mobile radio communications. 
Ozgur B Akan	2016	For contributions to wireless sensor networks 
Ali Akansu	2008	For contributions to optimal design of transforms and filter banks for communications and multimedia security 
Metin Akay	2009	For contributions to biomedical signal modeling and processing 
Maruthi Akella	2022	For contributions to spacecraft control systems 
Lex Akers	1997	For contributions to analog neural networks and to the modeling of microelectronic devices. 
Jaleel Akhtar	2023	For contributions in microwave planar sensors and nano-composites-based microwave absorbers 
Shigeyuki Akiba	2002	For contributions to infrared semiconductor lasers and to the development of high capacity transoceanic undersea cable systems. 
Bilal Akin	2023	For contributions to control, diagnosis and condition monitoring of AC drives 
Akintunde Akinwande	2008	For contributions to the development of digital self-aligned gate technology and vacuum microelectronic devices 
Deji Akinwande	2021	For contributions to wafer-scale graphene synthesis and application to flexible devices 
Shirabe Akita	2004	For contributions in applied superconductivity in support of electric power applications. 
Hidenori Akiyama	2000	For contributions to the development of pulsed power technology and its industrial applications. 
Kemal Akkaya	2023	For contributions to routing and topology management in wireless ad hoc and sensor networks 
Ian Akyildiz	1996	For contributions to performance analysis of computer communication networks. 
Kamal Al Haddad	2007	For contributions to research and development of power electronics converters 
Bashir Al-Hashimi	2009	For contributions to low power integrated circuits and  systems 
Ghassan AlRegib	2022	For contributions to perception-based and context-based visual signal processing 
Mohammad Alam	2014	For contributions to pattern recognition and high resolution image reconstruction 
Muhammad Alam	2006	For contributions to complementary metal oxide semiconductors (CMOS) circuit reliability and computational models for electronics and optoelectronics. 
Matteo Albani	2018	For contributions to the uniform geometrical theory of diffraction 
David Albonesi	2011	For contributions to power-efficient and adaptive computer architectures 
Alin Albu-Schaeffer	2016	For contributions to compliant and lightweight robots 
A Alcock	1989	For contributions to the investigation and development of excitation techniques for laser-produced plasmas. 
Fernando Aldana	1990	For contributions to industrial electronics 
M Dayne Aldridge	1991	For contributions to the design and application of electronic sensors and monitoring systems in the mining industry. 
Stephen Alexander	2013	For contributions to optical communication technologies, systems, and architectures 
Charles Alexander	1994	For leadership in the field of engineering education and the professional development of engineering students. 
Roy Alexander	2006	For contributions to technology for capacitor bank switching and the standardization of switchgear. 
Daniel Alexander	2024	For contributions to medical imaging and analysis 
A Alghunaim	1989	For leadership in international organizations to advance telecommunication development in Third World Countries 
Ahmed Ali	2021	For leadership in high-speed analog-to-digital converter design and calibration 
Mubarak Ali Shah	2003	For contributions to motion-based recognition and shape from shading in computer vision 
Walid Ali-Ahmad	2023	For leadership in development of low-cost direct-conversion cellular RF systems 
Massimo Alioto	2016	For contributions to energy-efficient VLSI circuits 
Cesare Alippi	2006	For contributions to robustness and application-level synthesis of embedded information processing systems. 
Paavo Alku	2020	For contributions to analysis, synthesis and quality improvement of speech signals 
Dennis Allan	1992	For contributions to the design and development of power transformers. 
Ronald Allan	1988	For contributions to the development of application of probability methods to power systems. 
Jan Allebach	1991	For contributions to the theory of sampling and reproduction of multidimensional signals. 
Jont Allen	1985	For contributions to speech analysis and synthesis systems 
Mark Allen	2011	For contributions to micro and nanofabrication technologies for microelectromechanical systems 
M Allen	1987	For contributions to the design and construction of radio frequency apparatus for high-energy storage rings and accelerators. 
James Allen	1977	For contributions to the characterization, analysis, and application of ferromagnetic materials in microwave devices. 
Phillip Allen	1992	For contributions to electrical engineering education and microelectronics textbooks. 
John Allen	2010	For contributions to high current radio frequency discharges, sheath and wave phenomena, and electronegative and dusty plasmas 
Andrew Alleyne	2018	For contributions to the control of thermal management systems 
David Allstot	1992	For contributions to the analysis and design of switched-capacitor and analog integrated circuits. 
Kevin Almeroth	2014	For contributions to multicast communication, wireless networks, and educational technology 
J Marcos Alonso	2022	For contributions to power electronics in lighting applications 
Gustavo Alonso	2014	For contributions to data management and distributed systems 
MohamedSlim Alouini	2009	For contributions to design and performance analysis of wireless communication systems 
Charles Alpert	2006	For contributions to physical design automation of very large scale integrated (VLSI) circuits. 
Gerard Alphonse	1998	For the practical development of single-mode, high-power, superluminescent diodes, with applications to fiber optic gyroscopes, optical amplifiers, spectroscopy, and low coherence interferometry. 
Ongun Alsac	1995	For contributions to efficient power flow analysis methods for large-scale power networks. 
Husam Alshareef	2024	For the development of nanoscale materials for device applications and their deployment in volume production 
Daniel Alspach	1998	For leadership in the theoretical development of non-linear estimation theory and its practical applications to multiple target data association and tracking problems in ocean surveillance. 
Eitan Altman	2010	For contributions to analysis, optimization, and control of telecommunication networks 
E Altshuler	1984	For contributions to the understanding of tropospheric effects on millimeter wave propagation. 
Hector Altuve	2015	For contributions to power line and transformer protection 
Andrea Alu	2014	For contributions to the theory and applications of electromagnetic metamaterials and plasmonic phenomena 
Rajeev Alur	2008	For contributions to automata, logics, and verification techniques for real-time and hybrid systems 
Srinivas Aluru	2010	For contributions to computational biology 
Fernando Alvarado	1993	For contributions to the understanding and utilization of sparse matrices in power system analysis. 
Alexandre Alves da Silva	2016	For contributions to dynamic security assessment and load forecasting in power systems 
Lorenzo Alvisi	2016	For contributions to reliable distributed systems 
Abeer A Alwan	2008	For contributions to speech perception and production modeling and their applications 
Markus Amann	2007	For contributions to laser diodes for optical communications and sensing 
Shun-Ichi Amari	1994	For contributions to mathematical foundations of neurocomputing and information geometry. 
Nancy Amato	2010	For contributions to the algorithmic foundations of motion planning in robotics and computational biology 
Anthony Ambler	1998	For contributions to economics of testing complex digital devices and systems. 
Aaron Ames	2021	For contributions to hybrid and safety-critical nonlinear control with demonstration on robotic systems 
Akihiro Ametani	1992	For contributions to the analysis of electrical transients in power systems. 
Daniel Amey	2008	For contributions to electronic packaging and high frequency characterization of ceramic system package materials 
Moeness Amin	2001	For contributions to time-frequency signal representations and their application. 
Massoud Amin	2016	For leadership in smart grids and security of critical infrastructures 
Amir Amini	2007	For contributions to cardiovascular imaging and medical image analysis 
Max Ammann	2019	For contributions to compact antennas for wideband wireless applications 
Mostafa Ammar	2002	For contributions to the design of scalable multimedia services and their network support. 
C Anagnostopoulos	1999	For contributions to Solid State Imagers and Integrated Circuits for Digital Cameras. 
P AnandaMohan	2005	For contributions to telecommunications technologies. 
Animashree Anandkumar	2021	For contributions to theory and applications in signal processing, machine learning, and artificial intelligence 
V Anantharam	1998	For contributions to the analysis and control of communication networks. 
Dimitris Anastassiou	1998	For contributions to video technology, developing high-performance digital image and video coding techniques. 
Yoshiharu Anbe	1998	For contributions to the research and development of automatic control system for metal rolling mills. 
Andre Anders	2001	For contributions to the physics and technology of cathodic arc plasmas. 
George Anders	1999	For contributions to probabilistic methods for power system analysis, and to power cable rating methods. 
Bjarne Andersen	2014	For leadership in High Voltage DC Transmission Systems, AC Power Electronics, and Reactive Power Compensation 
James Anderson	2012	For contributions to the implementation of soft-real-time systems on multiprocessor and multicore platforms 
Richard Anderson	1971	For contributions to semiconductors and to engineering education. 
L Anderson	1974	For contributions in the field of holographic optical memories. 
Robert Anderson	1993	For contributions to the continuing education of engineers and other professionals. 
Brian Anderson	1975	For contributions to quadratic optimal control and stability theory, and for leadership in electrical engineering education. 
W.Cleon Anderson	2008	For contributions to servo control systems 
John Anderson	1987	For contributions to tree coding and band-width-efficient modulation. 
Jason Anderson	2023	For contributions to high-level synthesis and low-power FPGAs 
C Andersson	1997	For contributions to the analysis of the interaction between AC and DC systems and of voltage stability in power systems. 
Yasuhiro Ando	2003	For contributions to optical connector technologies. 
Makoto Ando	2003	For contributions to the design of high gain planar waveguide arrays. 
Peter Andrekson	2006	For contributions to ultra-high-speed fiber-optic communication systems. 
Andreas Andreou	2006	For contributions to energy efficient sensory microsystems. 
A Andrews	2002	For technical leadership of government research and development programs 
James Andrews	1989	For contributions to picosecond-domain pulse techniques and measurements. 
Matthew Andrews	2015	For contributions to network design and wireless resource allocation 
Francesco Andriulli	2023	For contributions to computational electromagnetics 
Simon Ang	2011	For contributions to education power electronics and microelectronics in packaging education 
Lay-Kee Ang	2022	For contributions to electron emission and space charge effects in nanodiode and quantum materials 
Jorge Angeles	2006	For contributions to the kinematics, dynamics and design of robotic mechanical systems. 
David Angeli	2015	For contributions to nonlinear control theory 
Plamen Angelov	2016	For contributions to neuro-fuzzy and autonomous learning systems 
Jaume Anguera	2020	For contributions to small multiband antennas for wireless telecommunication devices 
Anuradha Annaswamy	2002	For contributions to adaptive control theory, neural networks, and active-adaptive control of combustion systems. 
Rashid Ansari	1999	For contributions to multirate digital signal processing and digital filter banks. 
Nirwan Ansari	2009	For contributions to broadband networks and communications 
Sameer Antani	2024	For contributions to medical imaging research in high-morbidity disease screening 
Yahia Antar	2000	For contributions to polarization studies, microstrip and dielectric resonator antennas. 
Philip Anthony	1999	For contributions to the development of electro-optic devices and lightwave communication systems. 
Gianluca Antonelli	2021	For contributions to modeling and control of underwater robots 
Dimitri Antoniadis	1990	For contributions to the fabrication process modeling and simulation and to field-effect quantum transport devices. 
Paul Antonik	2007	For contributions to knowledge-based radar systems 
Andreas Antoniou	1982	For contributions to active and digital filters, and to electrical engineering education. 
Grigoris Antoniou	2022	For contributions to knowledge representation within artificial intelligence and to the semantic web 
Panayotis Antsaklis	1991	For contributions to the theory of feedback stabilization and control of linear multivariable systems. 
Hideaki Aochi	2021	For contributions to three dimensional flash memories 
Tomonori Aoyama	2002	For contributions to digital signal processing for communications and broadband communication networks. 
John Apostolopoulos	2008	For contributions to the principles and practice of video communications and secure media streaming 
Alexander Apostolov	2009	For contributions to use of digital computers for power system protection, communication, and operation 
Joseph Appelbaum	1995	For contributions to solar conversion systems. 
Joerg Appenzeller	2010	For contributions to carbon nanotube transistors and circuits 
Thomas Aprille	1986	For contributions to the computer-aided analysis of nonlinear oscillatory networks and the design of communication circuits and systems. 
Shigehisa Arai	2010	For contributions to single-mode semiconductor lasers for optical communications 
Tatsuo Arai	2016	For contributions to micro manipulators and sensors, and applications to cellular biology 
Yasuhiko Arakawa	2006	For contributions to the understanding of quantum confinement effects in semiconductor lasers and the development of quantum dot lasers. 
F Arams	1967	For contributions to microwave quantum devices. 
Aristotle Arapostathis	2007	For contributions in nonlinear and stochastic control and applications in power systems 
B Arbesser-Rastburg	2014	For leadership in satellite communications, navigation, and remote sensing 
Murat Arcak	2012	For contributions to theory and application of nonlinear observer design and the passivity approach to control of distributed systems 
Gonzalo Arce	2000	For contributions to the theory and application of nonlinear signal processing. 
Bruce Archambeault	2006	For contributions to numerical modeling for product electro magnetic interference (EMI) compliance. 
Walid Aref	2018	For contributions to spatio-temporal database indexing and query processing 
Elke Arenholz	2024	For contributions to X-ray magnetic spectroscopy 
Francisco Ares	2009	For contributions to antenna array pattern synthesis 
Erdal Arikan	2012	For contributions to coding theory 
Kazutami Arimoto	2010	For development of high-density dynamic random access memory and embedded memory 
Seiichi Aritome	2014	For contributions to flash memory technologies 
Abdul-Rahman Arkadan	2001	For contributions to computer aided characterization and design optimization of electric machines and drive systems. 
Ronald Arkin	2003	For contributions to behavior-based robotic control, multi-robot systems, and hybrid deliberative/reactive software architectures. 
Jean Armstrong	2015	For contributions to the theory and application of orthogonal frequency division multiplexing in wireless and optical communications 
Carter Armstrong	2013	For technical leadership in the development of high power microwave and millimeter-wave radiation sources, especially their power modules 
Fritz Arndt	1993	For contributions to the field-theory analysis utilized in the design of passive microwave and millimeter-wave components. 
Robert Arno	2014	For contributions in applying stochastic modeling techniques to power distribution systems for critical facilities 
George Arnold	2012	For leadership in architecture and protocols for the electric grid and telecommunication networks 
Hamilton Arnold	1988	For contributions to earth-satellite propagation measurements. 
Narain Arora	2002	For contributions to the development of MOSFET compact models for circuit simulation. 
Anish Arora	2009	For contributions to scalability and stabilization of networks of sensors and  computers 
Jose Arroyo-Sanchez	2020	For contributions to generation scheduling for electricity markets 
Ercument Arvas	2003	For contributions to the solution of electromagnetic scattering problems. 
Mr Arvind	1995	For contributions to data flow architecture and programming languages. 
Minoru Asada	2005	For contributions to robot learning and applications. 
Masahiro Asada	2012	For contributions to semiconductor laser theory and terahertz devices 
Shojiro Asai	1990	For contributions to advancing semiconductor device technology. 
Kohtaro Asai	2018	For contributions to video coding  development and standardization 
Hajime Asama	2018	For contributions to distributed autonomous robotic systems 
Krste Asanovic	2014	For contributions to computer architecture 
Koichi Asatani	2005	For contributions to optical networking and standards, communicatons quality of service, and network performance. 
Peter Asbeck	2000	For development of heterostructure bipolar transistors and applications. 
Asen Asenov	2011	For contributions to the understanding and prediction of semiconductor device variability via modeling and simulation 
Gerald Ash	1993	For contributions to the conception and implementation of dynamic routing in telecommunications networks. 
Alexei Ashikhmin	2017	For contributions to information theory and communication theory 
Jan Askne	2004	For contributions to microwave remote sensing applications and education. 
Nadarajah Asokan	2017	For contributions to system security and privacy 
Ghassem Asrar	2000	For contributions to and leadership in complex, interdisciplinary remote sensing programs. 
Chadi Assi	2020	For contributions to resource allocation for optical and wireless networks 
Karl Johan Astrom	1979	For comprehensive contributions to stochastic control theory. 
John Asvestas	2000	For contributions to analytical and computational aspects of physical optics and boundary integral equations in the scattering and diffraction of electromagnetic waves. 
Bishnu Atal	1982	For contributions to the theory of linear prediction and its applications to speech processing. 
Abdullah Atalar	2007	For contributions to acoustic and atomic force microscopy 
Mikhail Atallah	1997	For contributions to parallel algorithms in computational geometry and in combinatorics. 
D Atherton	1996	For pioneering contributions to the describing function techniques for nonlinear control systems design. 
Ali Atia	1987	For developments in microwave filter design for communication satellites. 
David Atienza	2016	For contributions to design methods and tools for multiprocessor systems on chip 
Les Atlas	2004	For contributions to time-varying spectral analysis and acoustical signal processing. 
Vijayalakshmi Atluri	2023	For contributions to security and privacy for data and workflow systems 
Oscar Au	2012	For contributions to multimedia coding and security 
Norm Augustine	1989	For technical leadership and contributions to space and military defense. 
Tor Aulin	1999	For contributions to the analysis of Continuous Phase Modulation systems, and characterization of radio channels. 
Marc Auslander	1999	For contributions to reduced instruction set computing (RISC) systems. 
Todd Austin	2017	For contributions to simulation techniques and resilient system design in computer architecture 
C Auth	2015	For contributions to strained silicon transistor technology 
Randy Avent	2015	For leadership in automatic target recognition technology 
Carl Avers	2003	For contributions to engineering education and accreditation of engineering programs. 
Susan Avery	1998	For scientific and educational leadership and research in atmospheric science 
Amir Avestimehr	2020	For contributions to the analysis of communication and computation over wireless networks 
Algirdas Avizienis	1973	For fundamental contributions in the field of fault-tolerant computing 
Alberto Avolio	2021	For contributions to knowledge and monitoring of arterial hemodynamics 
Ikuo Awai	2008	For contributions to microwave passive components 
Ender Ayanoglu	1998	For contributions to communication theory and coding applications in communication networks. 
Kultegin Aydin	2006	For contributions to electromagnetic scattering and quantitative estimation in storms and clouds. 
J Aylor	1996	For developments in the use of computer technology for persons with disabilities. 
Rajapandian Ayyanar	2022	For contributions to power conversion and grid integration of renewable resources 
Arturo Azcorra	2022	For leadership in developing the midhaul and core of 5G networks 
Ronald Azuma	2016	For contributions to augmented reality 
KHOSROW BEHBEHANI	2013	For contributions to development of respiratory therapy devices in chronic pulmonary diseases chronic pulmonary diseases 
REINALDO BERGAMASCHI	2005	For contributions to the development of system design tools and methodologies. 
Toshihiko Baba	2022	For contributions to photonic nanostructure waveguides and emitters 
Hrvoje Babic	2002	For contributions to engineering education and research in analog and digital signal processing. 
Giorgio Baccarani	1999	For contributions to the scaled silicon device theory. 
Michiel Bacchiani	2022	For leadership in commercial automatic speech recognition systems 
Henry Bachman	1986	For leadership in the effective design and economical manufacture of electronic products for government and industry 
R Backe	1998	For leadership in the quality engineering and assurance of key components for pioneering scientific spacecraft. 
Michael Backes	2019	For contributions to computer security and privacy 
Jean Bacon	2007	For leadership in design of secure, large scale, distributed systems 
David Bader	2010	For contributions to parallel algorithms for combinatorial problems and computational biology 
Thomas Baeck	2022	For contributions in synthesizing evolutionary computation 
J Baer	1992	For contributions to the design and analysis of parallel computer systems. 
Roel Baets	2007	For contributions to silicon photonics and to photonic integration 
Yves Baeyens	2009	For contributions to the broadband and millimeter-wave circuits for optical and wireless communications 
Ricardo Baeza-Yates	2011	For contributions to the development of computer science 
Arthur Baggeroer	1989	For contributions to advanced array processing and underwater acoustics. 
Nader Bagherzadeh	2014	For contributions to the design and analysis of coarse-grained reconfigurable processor architectures 
Salvatore Baglio	2013	For contributions to development of microsensors and magnetometers 
Ahmad Bahai	2012	For contributions to multi-carrier wireless and wire-line communication systems 
Ruth Bahar	2022	For contributions to modeling and design of power-aware and noise-tolerant nanoscale computing systems 
Radhakisan Baheti	1997	For leadership in the integration of research and education in control systems engineering. 
Lalit Bahl	1996	For contributions to automatic speech recognition. 
Paramvir Bahl	2008	For contributions to the design of wireless networks and systems and leadership in mobile computing and communications 
Er-Wei Bai	2004	For contributions to system identification and parameter estimation. 
Fan Bai	2016	For contributions to vehicular networking and mobility modeling 
Paul Walter Baier	1995	For contributions to spread spectrum techniques and their applications to communications, cellular radio, radar, and geodesic ranging. 
Dominique Baillargeat	2022	For contributions to developments of nanomaterials for RF packaging and sensors 
John Baillieul	1993	For contributions to nonlinear control theory, robotics, and control of complex mechanical systems. 
Harbans Bajaj	2004	For leadership in field management of power plants. 
Chandrajit Bajaj	2014	For contributions to image processing, scientific visualization, and computational biology 
Ruzena Bajcsy	1992	For contributions to machine perception and robotics. 
Tadej Bajd	2000	For contributions to functional electrical stimulation assisted standing and walking in spinal cord injured subjects. 
C Bajorek	1990	For leadership in the development and manufacture of magnetic data storage and high-speed computer switching devices. 
Theodore Baker	2012	For contributions to real-time computing applications 
Russel Baker	2013	For contributions to the design of memory integrated circuits 
Christopher Baker	2016	For contributions to cognitive sensing in passive and diversity radars 
Keshoolal Bakhru	1990	For contributions to the analysis and technology of jam-resistant communication systems. 
Anastasios Bakirtzis	2015	For contributions to optimization of power systems operation and scheduling 
Wamadeva Balachandran	2004	For contributions to the understanding of electro-hydrodynamic atomization of liquids. 
Venkataramanan Balakrishnan	2012	For contributions to convex optimization in control systems 
Alexander Balandin	2013	For contributions to characterization of thermo-electric properties of semiconductor nanostructures and graphene 
Constantine Balanis	1986	For contributions to electromagnetic education , geometrical theory of diffraction, and electromagnetic geotomography. 
Shanker Balasubramaniam	2010	For contributions to time and frequency domain in computational electromagnetics 
Rajeev Balasubramonian	2021	For contributions to in-memory computation and memory interface design 
Pierre Baldi	2012	For contributions to machine learning and its applications in the life sciences 
Ross Baldick	2007	For contributions to analysis of power system economics 
Thomas Baldwin	2009	For contributions to grounding and protection in industrial power distribution systems 
William Baldygo	2016	For leadership in signal processing for radar systems 
B. Jayant Baliga	1983	For contributions to the development of power semiconductor devices. 
John Ballato	2017	For contributions to optical fibers and optoelectronic materials 
Poras Balsara	2014	For contributions to the design of all-digital frequency synthesis 
Henry Baltes	2003	For contributions to the development and commercialization of CMOS based MEMS. 
Quirino Balzano	2003	For contributions to methodologies for assessing exposure to radiofrequency radiation from portable communication devices. 
Bassam Bamieh	2008	For contributions to robust, sampled-data and distributed control 
Soli Bamji	1997	For contributions to the understanding of electroluminescence emission and aging processes in high-voltage polymeric insulation. 
Richard Bamler	2005	For contributions to synthetic aperture radar interferometry and signal processing. 
Andrzej Banaszuk	2011	For contributions to active and passive control of flow instabilities in aerospace systems 
Siva Banda	2002	For leadership in developing and applying multivariable flight control techniques for military applications. 
J Bandler	1978	For contributions to computer-oriented microwave and circuit practices. 
Supriyo Bandyopadhyay	2005	For contributions to device applications of nanostructures. 
Bijnan Bandyopadhyay	2018	For contributions to discrete-time, multi-rate, output feedback sliding-mode control 
Sanghamitra Bandyopadhyay	2016	For contributions to genetic algorithm based classification and clustering techniques 
Anirban Bandyopadhyay	2022	For leadership in silicon RF-SOI technologies 
Prithviraj Banerjee	1995	For contributions to the application of parallel computing to computer-aided design of VLSI circuits. 
Sanjay Banerjee	1996	For contributions to physics of semiconductor devices used in three-dimensional integrated circuits, and low temperature silicon-germanium epitaxy using non-thermally-assisted chemical vapor deposition. 
Soumitro Banerjee	2014	For contributions to the understanding of nonlinear phenomena in power electronic circuits, and to the theory of border collision bifurcation 
Sujata Banerjee	2022	For leadership in programmable and energy efficient networks 
Kaustav Banerjee	2012	For contributions to modeling and design of nanoscale integrated circuit interconnects 
Suman Banerjee	2022	For development of tools to improve performance and usability of wireless systems 
Douglas Baney	2011	For contributions in the field of optical measurement and sensing 
