Fellow,Year,Country,University,Citation
Plamen Angelov,2016,United Kingdom,Lancaster University,For contributions to neuro-fuzzy and autonomous learning systems 
Jaume Anguera,2020,Spain,Universitat Ramon Llull,For contributions to small multiband antennas for wireless telecommunication devices 
Sameer Antani,2024,United States,"National Library of Medicine, NIH",For contributions to medical imaging research in high-morbidity disease screening 
Gianluca Antonelli,2021,Italy,University of Cassino and Southern Lazio,For contributions to modeling and control of underwater robots 
Grigoris Antoniou,2022,Greece,University of Crete,For contributions to knowledge representation within artificial intelligence and to the semantic web 
Hideaki Aochi,2021,Japan,Kobe University,For contributions to three dimensional flash memories 
Tatsuo Arai,2016,Japan,Osaka University,"For contributions to micro manipulators and sensors, and applications to cellular biology "
Walid Aref,2018,United States,Purdue University,For contributions to spatio-temporal database indexing and query processing 
Elke Arenholz,2024,United States,"University of California, Berkeley",For contributions to X-ray magnetic spectroscopy 
Jean Armstrong,2015,Australia,Monash University,For contributions to the theory and application of orthogonal frequency division multiplexing in wireless and optical communications 
Jose Arroyo-Sanchez,2020,Spain,Universidad Politécnica de Madrid,For contributions to generation scheduling for electricity markets 
Kohtaro Asai,2018,Japan,University of Tokyo,For contributions to video coding  development and standardization 
Hajime Asama,2018,Japan,University of Tokyo,For contributions to distributed autonomous robotic systems 
Alexei Ashikhmin,2017,United States,Bell Labs,For contributions to information theory and communication theory 
Nadarajah Asokan,2017,Finland,University of Helsinki,For contributions to system security and privacy 
Chadi Assi,2020,Canada,Concordia University,For contributions to resource allocation for optical and wireless networks 
David Atienza,2016,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to design methods and tools for multiprocessor systems on chip 
Vijayalakshmi Atluri,2023,United States,Rutgers University,For contributions to security and privacy for data and workflow systems 
Todd Austin,2017,United States,University of Michigan,For contributions to simulation techniques and resilient system design in computer architecture 
C Auth,2015,United States,Bell Labs,For contributions to strained silicon transistor technology 
Randy Avent,2015,United States,Florida Polytechnic University,For leadership in automatic target recognition technology 
Amir Avestimehr,2020,United States,University of Southern California,For contributions to the analysis of communication and computation over wireless networks 
Alberto Avolio,2021,Italy,University of Rome,For contributions to knowledge and monitoring of arterial hemodynamics 
Rajapandian Ayyanar,2022,United States,Arizona State University,For contributions to power conversion and grid integration of renewable resources 
Arturo Azcorra,2022,Spain,Universidad Carlos III de Madrid,For leadership in developing the midhaul and core of 5G networks 
Ronald Azuma,2016,United States,Intel Labs,For contributions to augmented reality 
Toshihiko Baba,2022,Japan,Yokohama National University,For contributions to photonic nanostructure waveguides and emitters 
Michiel Bacchiani,2022,United States,Google,For leadership in commercial automatic speech recognition systems 
Michael Backes,2019,Germany,CISPA Helmholtz Center for Information Security,For contributions to computer security and privacy 
Thomas Baeck,2022,Netherlands,Leiden University,For contributions in synthesizing evolutionary computation 
Ruth Bahar,2022,United States,Intel Corporation,For contributions to modeling and design of power-aware and noise-tolerant nanoscale computing systems 
Fan Bai,2016,United States,General Motors,For contributions to vehicular networking and mobility modeling 
Dominique Baillargeat,2022,France,University of Limoges,For contributions to developments of nanomaterials for RF packaging and sensors 
Christopher Baker,2016,Australia,University of Technology Sydney,For contributions to cognitive sensing in passive and diversity radars 
Anastasios Bakirtzis,2015,Greece,Aristotle University of Thessaloniki,For contributions to optimization of power systems operation and scheduling 
Rajeev Balasubramonian,2021,United States,University of Utah,For contributions to in-memory computation and memory interface design 
William Baldygo,2016,United States,Air Force Research Laboratory,For leadership in signal processing for radar systems 
John Ballato,2017,United States,Clemson University,For contributions to optical fibers and optoelectronic materials 
Bijnan Bandyopadhyay,2018,India,Indian Institute of Technology Bombay,"For contributions to discrete-time, multi-rate, output feedback sliding-mode control "
Sanghamitra Bandyopadhyay,2016,India,Indian Statistical Institute,For contributions to genetic algorithm based classification and clustering techniques 
Anirban Bandyopadhyay,2022,Japan,National Institute for Materials Science,For leadership in silicon RF-SOI technologies 
Sujata Banerjee,2022,United States,"University of California, Los Angeles",For leadership in programmable and energy efficient networks 
Suman Banerjee,2022,United States,University of Wisconsin–Madison,For development of tools to improve performance and usability of wireless systems 
Seth Bank,2022,United States,University of Texas at Austin,For contributions to the growth of optoelectronic materials by molecular beam epitaxy 
Farhan Baqai,2023,United States,Apple Inc.,For contributions in leadership in digital camera image processing 
Edward Baranoski,2016,United States,MIT Lincoln Laboratory,For leadership in knowledge-aided radar systems for indoor environments 
Joseph Bardin,2024,United States,University of Massachusetts Amherst,For contributions to cryogenic microwave circuits 
Timothy Barfoot,2021,Canada,University of Toronto,For contributions to mobile robot navigation 
Paul Barford,2018,United States,University of Wisconsin-Madison,For contributions to Internet measurement and  security 
Hugh Barnaby,2017,United States,Arizona State University,For research of radiation effects in bipolar junction transistors 
Kenneth Barner,2016,United States,University of Delaware,For contributions in nonlinear signal processing 
Joao Barros,2023,Portugal,University of Porto,For contributions to physical-layer security and vehicular networking 
Janet Barth,2017,United States,NASA Goddard Space Flight Center,For leadership in spacecraft reliability and electronic systems 
Christopher Barty,2017,United States,"University of California, Irvine",For contributions to ultrahigh intensity lasers and advancement of X-ray and gamma-ray science 
Ertugrul Basar,2023,Turkey,Koc University,For contributions to physical-layer design for next-generation wireless networks 
Cullen Bash,2022,USA,Stanford University,For contributions to improving the sustainability and energy efficiency of data center infrastructure 
David Basin,2021,Switzerland,ETH Zurich,For contributions to formal methods for information security 
Gerhard Bauch,2015,Germany,Hamburg University of Technology,For contributions to iterative processing in multiple-input multiple-output systems 
Siegfried Bauer,2016,Netherlands,University of Twente,For contributions to the understanding and application of electroactive polymer dielectrics 
Matthias Bauer,2019,Germany,University of Paderborn,For contributions to growth technologies for alloys for transistors 
Mathias Baumert,2024,Australia,University of Adelaide,For contributions to biomedical signal processing and clinical applications 
Alexandre Bayen,2023,USA,"University of California, Berkeley","For contributions to distributed parameter systems control, with applications to mobile sensing and automotive systems "
Geoffrey Beach,2023,USA,Massachusetts Institute of Technology,"For contributions to the understanding of magnetoelectric effects, domain wall and skyrmion dynamics in nanostructures "
Randal Beard,2015,USA,Brigham Young University,"For contributions to the theory and practice of guidance, control, and team coordination of unmanned aerial  vehicles "
Carolyn Beck,2023,USA,University of Illinois at Urbana-Champaign,For contributions to model reduction and to the analysis of epidemic processes over networks 
Wiren Becker,2015,USA,University of Minnesota,For contributions to power distribution and  signal integrity in high-speed interconnects for computing systems 
Stephen Beeby,2022,UK,University of Southampton,For contributions to energy harvesting and its application in e-textiles 
Daryl Beetner,2024,USA,Missouri University of Science and Technology,"For contributions to measurement, modeling, and prediction of electromagnetic immunity and power integrity issues "
Kristine Bell,2015,USA,Washington University in St. Louis,For contributions to statistical signal processing with radar and sonar applications 
Andrew Bell,2020,UK,University of Leeds,For contributions to piezoelectric science and engineering resulting in novel high temperature ultrasound transducers 
Juan Bello,2024,USA,New York University,For contributions to sound detection and retrieval 
Adel Belouchrani,2020,Algeria,Ecole Nationale Polytechnique d'Alger,For contributions to blind source separation and to non-stationary signal and array processing 
Calin Belta,2017,USA,Boston University,For contributions to automated control synthesis and robot motion planning and control 
Boualem Benatallah,2022,Australia,University of New South Wales,For contributions to declarative service composition and web services middleware 
Mohamed Benbouzid,2020,France,University of Brest,For contributions to diagnosis and fault-tolerant control of electric machines and drives 
Maria-Gabriella Benedetto,2016,Italy,Sapienza University of Rome,For contributions to impulse-radio ultra wideband and cognitive networks for wireless communications 
Ewert Bengtsson,2015,Sweden,Uppsala University,For contributions to quantitative microscopy and biomedical image analysis 
Gabriel Benmouyal,2024,Canada,Hydro-Québec,For contributions to digital protective relays for power systems 
Terry Benzel,2024,United States,University of Southern California,For leadership in establishing the field of cybersecurity experimentation 
B Wayne Bequette,2016,United States,Rensselaer Polytechnic Institute,For contributions to design and control of chemical and biomedical systems 
Karl Berggren,2016,United States,Massachusetts Institute of Technology,For contributions to nanofabrication and nanomanufacturing  in the sub-10 nm regime 
Valeria Bertacco,2017,United States,University of Michigan,For contributions to computer-aided verification and reliable system design 
Vaughn Betz,2020,Canada,University of Toronto,For contributions to computer-aided design of field-programmable gate arrays 
Hassan Bevrani,2023,Iran,University of Kurdistan,For contributions to microgrid control 
Wendemagegnehu Beyene,2024,United States,Qualcomm,For contributions to modeling and simulation techniques for high-speed links 
Shekhar Bhansali,2023,United States,Florida International University,For contributions to portable realtime sensing devices for continuous monitoring 
Navakanta Bhat,2019,India,Indian Institute of Science,For contributions to electrochemical biosensors in nanoelectronic devices 
Charanjit Bhatia,2015,India,Indian Institute of Technology Delhi,For contributions to magnetic head-media interfaces and tribology 
Subhashish Bhattacharya,2022,United States,North Carolina State University,For contributions to power conversion systems and active power filters 
Kankar Bhattacharya,2017,Canada,University of Waterloo,For contributions to electricity markets and reactive power ancillary services 
Suparna Bhattacharya,2022,India,Indian Institute of Science,For contributions to Linux kernel for enterprise and advanced data processing systems 
Achintya Bhowmik,2021,United States,"Augmented Reality Division, Intel",For leadership in perceptual augmentation devices 
Swarup Bhunia,2024,United States,University of Florida,For contributions to the design of secure and trustworthy microelectronic systems 
Tianshu Bi,2022,China,Tsinghua University,For contributions to synchrophasor technology and protective relay applications 
Ricardo Bianchini,2015,United States,Rutgers University,For contributions to server and data center energy  management 
William Bidermann,2020,,,For leadership in commercially successful image sensors and microprocessors 
Sebastien Bigo,2017,France,Nokia Bell Labs France,For contributions to optical transmission systems and networks 
Marcela Bilek,2015,Australia,University of Sydney,For contributions to the science and application of plasma processes for materials modification and synthesis 
Aude Billard,2020,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to robot task learning and programming by human demonstration 
Stephan Biller,2022,United States,University at Buffalo,For leadership in the applications of Internet of Things and Artificial Intelligence in manufacturing industry 
Mark Billinghurst,2023,New Zealand,University of Auckland,For contributions to augmented and virtual reality 
Filiberto Bilotti,2017,Italy,Roma Tre University,For contributions to metamaterials for electromagnetic and antenna applications 
Kenneth P Birman,2015,United States,Cornell University,For leadership in distributed computing and management of distributed systems 
Robert Bishop,2024,United States,University of South Florida,For contributions to control systems engineering education 
Emil Bjornson,2022,Sweden,KTH Royal Institute of Technology,For contributions to multi-antenna and multi-cell wireless communications 
William Blackwell,2019,United States,Massachusetts Institute of Technology,For contributions to atmospheric remote sensing algorithms and instrumentation 
M Brian Blake,2022,United States,Georgia State University,For contributions to web-based software engineering 
Monica Blank,2020,United States,,For development of gyrotron oscillators and amplifiers 
Erik Blasch,2018,United States,Air Force Research Laboratory,For leadership in aerospace information fusion systems 
Aggelos Bletsas,2024,Greece,Technical University of Crete,For contributions to cooperative relaying and backscatter communication networks 
Daniel Bliss,2015,United States,Arizona State University,For contributions to adaptive sensor systems in radar and communications 
Pierre Blondy,2019,France,University of Limoges,For contributions to radio frequency micro electromechanical systems 
Shannon Blunt,2016,United States,University of Kansas,For contributions to radar waveform diversity and design 
Kwabena Boahen,2016,United States,Stanford University,For contributions to system design for neuromorphic chip 
Aaron Bobick,2015,United States,Washington University in St. Louis,For contributions to activity recognition in computer vision 
Wim Bogaerts,2021,Belgium,Ghent University,For contributions to design methodologies for silicon photonics components and circuits 
Iustin Radu Bojoi,2019,Italy,Politecnico di Torino,For contributions to control of electrical drives and power electronics 
Silverio Bolognani,2019,Italy,University of Padova,For contributions to permanent magnet synchronous motor technology 
Alexandra Boltasseva,2020,United States,Purdue University,For research on new materials for plasmonic and metamaterial nanophotonic devices 
Glenn Boreman,2018,United States,University of North Carolina at Charlotte,For contributions to optical and infrared antenna technologies 
Nuno Borges De Carvalho,2015,Portugal,University of Aveiro,For contributions on characterization and design of nonlinear RF circuits 
Alberto Borghetti,2015,Italy,University of Bologna,For contributions to modeling of power distribution systems under transient conditions 
Vicente Boria,2018,Spain,Universitat Politècnica de València,For contributions to high-power microwave filters and multiplexers 
Olga Boric-Lubecke,2015,United States,University of Hawaii at Manoa,For contributions to biomedical microwave technology 
Francesco Borrelli,2016,USA,"University of California, Berkeley",For contributions to the theory and applications of model predictive control 
Gabriella Bosco,2019,Italy,Politecnico di Torino,For contributions to modeling and design of coherent optical communication systems 
Laura Bottomley,2016,USA,North Carolina State University,For leadership in increasing student interest in STEM education 
Petros Boufounos,2022,USA,Northeastern University,For contributions to compressed sensing 
Keith Bowman,2023,USA,"University of Maryland, Baltimore County",For contributions to variation-tolerant adaptive processor designs 
Jill M. Boyce,2019,USA,Intel Corporation,For contributions to video coding 
Robert Boyd,2017,USA,University of Rochester,For contributions to the fields of nonlinear optics and photonics 
Timothy Boykin,2018,USA,University of Alabama in Huntsville,For contributions to atomistic models for semiconductor device simulation 
Maurizio Bozzi,2018,Italy,University of Pavia,For contributions to substrate integrated waveguides and integrated periodic structures 
Michael Braasch,2023,USA,Ohio University,For contributions to GPS multipath error characterization and mitigation 
Sukumar Brahma,2020,United States,Clemson University,For contributions to power system protection with distributed and renewable generation 
Maite Brandt-Pearce,2023,United States,University of Virginia,For contributions to optical wireless and fiber communications 
Michael Branicky,2016,United States,Case Western Reserve University,For contributions to switched and hybrid control systems 
Henning Braunisch,2016,United States,Intel Corporation,For contributions to high-bandwidth microprocessor packaging 
James Breakall,2024,United States,Pennsylvania State University,"For design of novel antennas for radar, communications, and ionospheric and radio-astronomy research "
Olav Breinbjerg,2019,Denmark,Technical University of Denmark,For leadership in spherical near-field antenna measurements 
Victor Bright,2015,United States,University of Colorado Boulder,For contributions to micro- and nano-electromechanical systems 
Michael Bronstein,2019,United Kingdom,University of Oxford,"For contributions to acquisition, processing, and analysis of geometric data "
Alexander Bronstein,2018,Israel,Technion – Israel Institute of Technology,For contributions to three-dimensional geometric processing in imaging 
Juergen Brugger,2016,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to micro and nano manufacturing technology 
Concettina Buccella,2023,Italy,University of L'Aquila,For contributions to the modeling of electric systems and the modulation of multilevel converters 
Walter Buchanan,2019,USA,Texas A&M University,For leadership in accreditation activities of engineering technology programs 
James Buckwalter,2022,USA,"University of California, Santa Barbara",For contributions to high-efficiency millimeter-wave power amplifiers and optical transceivers in SOI technologies 
M Buehler,2015,USA,Massachusetts Institute of Technology,"For contributions to metrology through development of semiconductor process control test structures, gas sensors and radiation detectors "
Richard Buehrer,2017,USA,Virginia Tech,For contributions to wideband signal processing in communications and geolocation 
Charles Bunting,2018,USA,Oklahoma State University,For educational contributions to electromagnetic compatibility and reverberation chambers 
Wolfram Burgard,2015,Germany,University of Freiburg,For contributions to mobile robot navigation and simultaneous localization and mapping 
Peter Burke,2021,USA,"University of California, Irvine",For contributions to active and passive microwave devices 
Geoffrey Burr,2020,USA,IBM Research,For contributions to neuromorphic computing using non-volatile memories 
Linda Bushnell,2017,USA,University of Washington,For contributions to networked control systems 
Carlos Busso,2023,United States,University of Texas at Dallas,For contributions to speech and multimodal affective signal processing and their technology applications 
Humberto Bustince,2022,Spain,Public University of Navarre,For contributions to information fusion under uncertainty 
Steven Butler,2019,United States,Iowa State University,For technical leadership in aerospace systems 
Karen Butler-Purry,2018,United States,Texas A&M University,For contributions to expanding minority participation in power systems education 
Rajkumar Buyya,2015,Australia,University of Melbourne,For contributions to cloud computing 
Raymond Byrne,2017,Ireland,Dublin Institute of Technology,For contributions to miniature robotics and grid integration of energy storage 
Danijela Cabric,2021,United States,"University of California, Los Angeles",For contributions to theory and practice of spectrum sensing and cognitive radio systems 
Marco Caccamo,2018,United States,University of Illinois at Urbana-Champaign,For contributions to the theory and applications of hard real-time multicore computing 
Christian Cachin,2015,Switzerland,University of Bern,For contributions to steganography and secure distributed systems 
Matthew Caesar,2024,United States,University of Illinois at Urbana-Champaign,For contributions to computer network verification and routing 
Jianfei Cai,2021,Singapore,Nanyang Technological University,For contributions to multimedia transmission and content analysis 
Lin Cai,2020,Canada,University of Victoria,For contributions to topology control of wireless networks 
Ning Cai,2015,China,Shanghai Jiao Tong University,For contributions to network coding theory and arbitrarily varying channels 
Andrea Caiti,2017,Italy,University of Pisa,For contributions to geo-acoustic inversion and autonomous underwater vehicles 
Giuseppe Calafiore,2018,Italy,Politecnico di Torino,For contributions to probabilistic methods for robust control design 
Jeffrey Calame,2018,USA,U.S. Naval Research Laboratory,For contributions to high-power microwave and millimeter-wave amplifiers enabled by composite dielectric materials 
Benton Calhoun,2021,USA,University of Virginia,For contributions to sub-threshold integrated circuits and self-powered systems 
Erik Cambria,2022,Singapore,Nanyang Technological University,For contributions to affective computing and sentiment analysis 
Tracy Camp,2016,USA,Colorado School of Mines,For contributions to wireless networking 
Linda Camp,2018,United States,Indiana University Bloomington,For research in human-centered risk and security 
Richard Campbell,2019,,,For contributions to millimeter and terahertz wafer-probe technology 
Bruce Campbell,2019,United States,Carnegie Mellon University,For contributions to radar remote sensing for planetary science 
Mark Campbell,2018,USA,Cornell University,For contributions to control and estimation theory for autonomous systems 
Patrizio Campisi,2023,Italy,Roma Tre University,For contributions to the development of biometrics 
Gustau Camps-Valls,2018,Spain,University of Valencia,For contributions to machine learning in remote sensing 
Emmanuel Candes,2018,USA,Stanford University,For contributions to sparse and low-rank signal and image processing 
Eugenio Cantatore,2016,Netherlands,Eindhoven University of Technology,For contributions to the design of circuits with organic thin film transistors 
Carlos Canudas De Wit,2016,France,Université Grenoble Alpes,"For contributions to modeling and control of mechanical, robotic, and networked systems "
Jiannong Cao,2015,Hong Kong,Hong Kong Polytechnic University,For contributions to distributed computing in mobile wireless networks 
Yu Cao,2017,USA,Arizona State University,For development of predictive technology models for reliable circuit and system integration 
Jinde Cao,2016,China,Southeast University,For contributions to the analysis of neural networks 
Yijia Cao,2024,China,Shanghai Jiao Tong University,For contributions to analysis and control of smart grids 
Filippo Capolino,2020,USA,"University of California, Irvine",For contributions to development of electromagnetic phenomena in metamaterials and periodic structures 
Antonio Capone,2019,Italy,Politecnico di Milano,For contributions to the design and resource management of wireless and Internet Protocol networks 
Franck Cappello,2017,France,INRIA,"For contributions to high-performance computing, fault tolerance, and grid-based computing "
Constantine Caramanis,2023,USA,University of Texas at Austin,For contributions to robust statistics and optimization in high dimensions 
Paolo Carbone,2015,Italy,University of Perugia,For contributions to quantization and data converter theory 
Michael Carey,2017,USA,"University of California, Irvine",For contributions to design and engineering of high-performance and concurrent database systems 
Anita Carleton,2022,USA,Carnegie Mellon University,For leadership in the advancement of software measurement and practices 
Bruce Carlsten,2016,USA,Los Alamos National Laboratory,For contributions to high-brightness electron beams and vacuum electron devices 
W Mark Carpenter,2020,United States,Sandia National Laboratories,For leadership in standards development for power system protection 
Richard Carson,2019,United States,Yale University,For contributions to quantitative positron emission tomography 
Ramon Carvajal,2020,,,For contributions to low-voltage and low-power CMOS analog circuit design 
Leo Casey,2018,United States,Quanta Technology,For contributions to high-speed power electronic interfaces for grid-tied distributed resources 
Friedhelm Caspers,2019,Switzerland,CERN,For contributions to charged particle accelerators 
David Castanon,2019,United States,Boston University,For contributions to discrete-time stochastic control and information fusion 
Joao Paulo Catalao,2022,Portugal,University of Porto,For contributions to power system operations and demand response 
Umit Catalyurek,2016,United States,Georgia Institute of Technology,For contributions to combinatorial scientific computing and parallel computing 
Andrea Cavagnino,2020,Italy,Politecnico di Torino,For contributions to multi-physics design and material characterization of electric machines 
Joseph Cavallaro,2015,United States,Rice University,For contributions to VLSI architectures and algorithms for signal processing and wireless communications 
Andrea Cavallini,2022,Italy,University of Bologna,For contributions to the development of electrical insulation diagnostics through partial discharge measurements 
Mujdat Cetin,2019,Turkey,Sabanci University,For contributions to image processing for synthetic aperture radar and sensor array 
Chan-Byoung Chae,2021,South Korea,Yonsei University,For contributions to MIMO design and prototypes for emerging communication systems 
Premjeet Chahal,2024,United States,Michigan State University,For contributions to additive manufacturing and materials characterization 
Nacer Chahat,2022,United States,NASA Jet Propulsion Laboratory,For development of CubeSat and Spacecraft antennas for inter-planetary missions 
Chandan Chakraborty,2015,India,Indian Institute of Technology Kharagpur,For contributions to estimation techniques and control of induction machine and drive systems 
Samarjit Chakraborty,2022,Germany,Technical University of Munich,For contributions to system-level timing analysis of cyber-physical systems 
Yiu-TongY Chan,2016,Hong Kong,Hong Kong Polytechnic University,For development of efficient localization and tracking algorithms 
Sherman Chan,2018,USA,"University of California, Los Angeles",For contributions to power system modeling and analysis tools for protective relaying 
Ranveer Chandra,2020,United States,Microsoft Research,For contributions to software-defined wireless networking technologies 
Tsung-Yung Chang,2018,Taiwan,National Yunlin University of Science and Technology,For application of SRAM technology to low-power and high-performance computing 
Kun-Yung Chang,2018,Taiwan,National Chung Cheng University,For contributions to transceivers for high-performance networking and high-density memories 
Elizabeth Chang,2015,Australia,Curtin University,For contributions to industrial informatics and cyber physical systems 
Chip Hong Chang,2018,Singapore,Nanyang Technological University,For contributions to hardware security 
Chorng-Ping Chang,2016,USA,Florida Institute of Technology,For contributions to replacement gate and shallow trench isolation for CMOS technology 
Edward Chang,2017,Taiwan,National Taiwan University,For contributions to scalable machine learning 
Meng-Fan Chang,2019,Taiwan,National Tsing Hua University,For contributions to static and nonvolatile memories for embedded systems 
Yuan-Hao Chang,2023,Taiwan,Academia Sinica,For contributions to non-volatile memory reliability 
Tsung-Hui Chang,2023,Hong Kong,"The Chinese University of Hong Kong, Shenzhen",For contributions to distributed optimization methods and their applications in signal processing and wireless communications 
Norman Chang,2023,USA,"ANSYS, Inc.",For leadership in the physical-level sign-off of Electronic Design Automation for SoC/ 3DIC 
Edoardo Charbon,2017,Switzerland,École Polytechnique Fédérale de Lausanne,For contributions to solid-state single photon avalanche detectors and their applications in imaging 
Symeon Chatzinotas,2023,Luxembourg,University of Luxembourg,For contributions to precoding technologies for multiple antennas 
Lap-Pui Chau,2017,Hong Kong,City University of Hong Kong,For contributions to fast computation algorithms for visual signal processing 
Yogesh Chauhan,2021,India,Indian Institute of Technology Kanpur,For contributions to compact modeling of Si and GaN transistors 
Wenquan Che,2022,China,South China University of Technology,For contributions to planar transmission line structures for microwave passive components 
Chien Cheah,2024,Singapore,Nanyang Technological University,For contributions to task-space robot control and dynamic multi-robot control 
Pavel Cheben,2023,Canada,National Research Council Canada,For contributions to silicon and metamaterial photonics 
Chun-Hung Chen,2016,USA,George Mason University,For contributions to simulation-based optimization of automation systems 
Degang Chen,2016,USA,Iowa State University,For contributions to testing of analog and mixed-signal integrated circuits 
Chi-Chih Chen,2015,USA,The Ohio State University,For contributions wideband and miniature antennas 
